Student ID number (INCLUDING 'UP'),Project Type,Project Topic,First Supervisor Choice,Second Supervisor Choice,Third Supervisor Choice
1000020,Study,Business Analysis,Asim Ali,Linda Yang,Shelley Usher
1000021,Study,Business Information Systems,Atefeh Khazaei,Mani Ghahremani,Shikun Zhou
1000022,Engineering,Business Processes,Carrie Toptan,Mark Venn,Simon Marsden
1000023,Engineering,Decision Support [Systems],Claudia Iacob,Martin Sparrius,Sohail Safdar
1000024,Study,ERP,Dalin Zhou,Matt Dennis,Stavros Shiaeles
1000025,Engineering,Industrial Espionage,David Williams,Matthew Poole,Taiwo Adedeji
1000026,Engineering,Industry 4.0,Dongxu Gao,Mo Adda,Tamer Elboghdadly
1000027,Engineering,Information Security,Elisavet Andrikopoulou,Mohamed Bader,Athanasios Paraskelidis
1000028,Study,IT Project Management,Ella Haig,Nadim Bakhshov,Tobi Fajana
1000029,Study,Knowledge Management [and sharing],Fahad Ahmad,Nasreen Anjum,Uchenna Ogenyi
1000030,Engineering,Logistics,Farzad Arabikhan,Olumuyiwa Matthew,Valentin Adamescu
1000031,Engineering,Organisational Change,Gail Ollis,Femi Fasunlade,Vasileios Adamos
1000032,Engineering,Organisational Learning,Grace Golcarenarenji,Paolo Serafino,Asim Ali
1000033,Engineering,Payment Systems,Hamidreza Khaleghzadeh,Penny Hart,Atefeh Khazaei
1000034,Engineering,SAP,Hasheem Danbatta,Peter Bednar,Carrie Toptan
1000035,Study,Supply Chain,Haythem Nakkas,Priscilla Boadi,Claudia Iacob
1000036,Study,Use of Emerging Technologies,Honghai Liu,Rahim Taheri,Dalin Zhou
1000037,Study,Work System Design,Ioannis Kagalidis,Marjan Golmaryami,David Williams
1000038,Engineering,Computational Complexity,Asim Ali,Rich Boakes,Dongxu Gao
1000039,Study,Computational Intelligence,Atefeh Khazaei,Rinat Khusainov,Elisavet Andrikopoulou
1000040,Study,Computational Neuroscience,Carrie Toptan,Ronel Beukman,Ella Haig
